Country,State,Year,Gender,Type Of Disease,"Cases (UOM:Number), Scaling Factor:1","Deaths (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",,Influenza,1.172301905,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Assam,"Calendar Year (Jan - Dec), 2022",,Influenza,21,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",,Influenza,21,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",,Influenza,356,1
India,Delhi,"Calendar Year (Jan - Dec), 2022",,Influenza,355,0
India,Goa,"Calendar Year (Jan - Dec), 2022",,Influenza,212,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",,Influenza,2031,58
India,Haryana,"Calendar Year (Jan - Dec), 2022",,Influenza,79,9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",,Influenza,7,1
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022",,Influenza,3.91250744,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",,Influenza,33,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",,Influenza,495,0
India,Kerala,"Calendar Year (Jan - Dec), 2022",,Influenza,71,3
India,Ladakh,"Calendar Year (Jan - Dec), 2022",,Influenza,0.08749256,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",,Influenza,46,2
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",,Influenza,3513,191
India,Manipur,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",,Influenza,2,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2022",,Influenza,137,0
India,Puducherry,"Calendar Year (Jan - Dec), 2022",,Influenza,262,0
India,Punjab,"Calendar Year (Jan - Dec), 2022",,Influenza,141,21
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",,Influenza,341,11
India,Sikkim,"Calendar Year (Jan - Dec), 2022",,Influenza,48,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",,Influenza,2036,22
India,Telangana,"Calendar Year (Jan - Dec), 2022",,Influenza,273.8276981,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",,Influenza,335,2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",,Influenza,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022",,Influenza,629,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",,Influenza,0.586150952,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Assam,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",,Influenza,6,1
India,Delhi,"Calendar Year (Jan - Dec), 2021",,Influenza,92,0
India,Goa,"Calendar Year (Jan - Dec), 2021",,Influenza,6,0
India,Gujarat,"Calendar Year (Jan - Dec), 2021",,Influenza,33,2
India,Haryana,"Calendar Year (Jan - Dec), 2021",,Influenza,6,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",,Influenza,3.91250744,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021",,Influenza,13,0
India,Kerala,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",,Influenza,0.08749256,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",,Influenza,2,1
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",,Influenza,387,2
India,Manipur,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",,Influenza,1,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",,Influenza,52,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",,Influenza,3,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",,Influenza,20,1
India,Sikkim,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",,Influenza,11,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",,Influenza,9.413849048,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",,Influenza,24,1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021",,Influenza,108,4
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,5092,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,17232,5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,168,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Cholera,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,6,3
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),235,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Measles,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),98,7
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Rabies,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,,
