Country,State,Year,Gender,DiseaseType,Cases,Deaths
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,5092.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,17232.0,5.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,168.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Cholera,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,6.0,3.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),235.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Measles,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),98.0,7.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Rabies,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),16.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,2.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,5699.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,18705.0,12.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,164.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Cholera,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,3.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),255.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Measles,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),109.0,12.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Rabies,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,46932.072911859716,10.537840332256575
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),52.0,1.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,0.0,0.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,46932.072911859716,10.537840332256575
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,314453.0,91.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,872502.0,487.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,318.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,0.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,107.0,0.0
